Date,Close,High,Low,Open,Volume,Ticker
2017-11-09,320.8840027,329.4519958,307.0559998,308.644989,893249984,ETH-USD
2017-11-10,299.2529907,324.7179871,294.5419922,320.67099,885985984,ETH-USD
2017-11-11,314.6809998,319.4530029,298.1919861,298.5859985,842300992,ETH-USD
2017-11-12,307.9079895,319.1530151,298.5130005,314.6900024,1613479936,ETH-USD
2017-11-13,316.7160034,328.4150085,307.0249939,307.0249939,1041889984,ETH-USD
2017-11-14,337.631012,340.177002,316.7630005,316.7630005,1069680000,ETH-USD
2017-11-15,333.3569946,340.9119873,329.8129883,337.9639893,722665984,ETH-USD
2017-11-16,330.9240112,336.1589966,323.6059875,333.4429932,797254016,ETH-USD
2017-11-17,332.3940125,334.9639893,327.5230103,330.1669922,621732992,ETH-USD
2017-11-18,347.6119995,349.6159973,327.6870117,331.980011,649638976,ETH-USD
2017-11-19,354.3859863,371.2909851,344.7399902,347.401001,1181529984,ETH-USD
2017-11-20,366.730011,372.1369934,353.2890015,354.0939941,807027008,ETH-USD
2017-11-21,360.401001,372.4700012,350.6929932,367.4429932,949912000,ETH-USD
2017-11-22,380.6520081,381.4200134,360.1470032,360.3120117,800819008,ETH-USD
2017-11-23,410.1659851,425.5480042,376.0880127,381.4389954,1845680000,ETH-USD
2017-11-24,474.9110107,480.9729919,402.7579956,412.5010071,2292829952,ETH-USD
2017-11-25,466.276001,485.1919861,461.053009,475.6759949,1422080000,ETH-USD
2017-11-26,471.3299866,472.7229919,451.6059875,465.973999,1197779968,ETH-USD
2017-11-27,480.355011,493.4049988,468.4849854,471.5310059,1396480000,ETH-USD
2017-11-28,472.9020081,482.480011,466.3469849,480.5180054,1346499968,ETH-USD
2017-11-29,427.5230103,522.3070068,425.0710144,473.2810059,2675940096,ETH-USD
2017-11-30,447.1140137,465.4970093,401.2430115,431.2149963,1903040000,ETH-USD
2017-12-01,466.5400085,472.6090088,428.3120117,445.2090149,1247879936,ETH-USD
2017-12-02,463.4490051,476.2390137,456.6530151,466.8510132,943649984,ETH-USD
2017-12-03,465.8529968,482.8139954,451.8519897,463.7049866,990556992,ETH-USD
2017-12-04,470.20401,474.7770081,453.3120117,466.0539856,1005550016,ETH-USD
2017-12-05,463.2810059,473.5580139,457.6600037,470.2940063,1216720000,ETH-USD
2017-12-06,428.5880127,462.7080078,420.2099915,462.6040039,1998259968,ETH-USD
2017-12-07,434.4079895,441.3970032,414.4110107,426.368988,2129570048,ETH-USD
2017-12-08,456.0310059,466.0620117,422.3670044,434.9890137,2336379904,ETH-USD
2017-12-09,473.5020142,504.1470032,456.2529907,457.3439941,2003849984,ETH-USD
2017-12-10,441.7210083,472.7890015,429.5140076,472.7890015,1404179968,ETH-USD
2017-12-11,515.1359863,516.9689941,439.1040039,440.3580017,1771440000,ETH-USD
2017-12-12,651.4310303,657.3179932,504.493988,522.2860107,5179829760,ETH-USD
2017-12-13,702.7670288,747.992981,597.7979736,644.9060059,4524539904,ETH-USD
2017-12-14,695.815979,753.1209717,664.9890137,700.5939941,3821580032,ETH-USD
2017-12-15,684.447998,697.132019,621.0609741,696.3759766,2758710016,ETH-USD
2017-12-16,696.2089844,718.3850098,680.7860107,686.1920166,2165690112,ETH-USD
2017-12-17,719.9749756,735.8250122,696.2369995,696.2369995,2147389952,ETH-USD
2017-12-18,794.6450195,803.9279785,689.2310181,721.7319946,3249230080,ETH-USD
2017-12-19,826.822998,881.9439697,785.34198,793.901001,4096549888,ETH-USD
2017-12-20,819.0859985,845.0620117,756.0040283,827.5159912,3969939968,ETH-USD
2017-12-21,821.0629883,880.5430298,792.6890259,820.2360229,3569060096,ETH-USD
2017-12-22,674.8599854,827.6829834,543.7620239,822.6430054,4977710080,ETH-USD
2017-12-23,719.3870239,763.8950195,679.7310181,681.315979,2480339968,ETH-USD
2017-12-24,694.1480103,721.7689819,614.9219971,721.7689819,2300549888,ETH-USD
2017-12-25,765.8339844,782.5209961,698.8699951,698.8699951,2491760128,ETH-USD
2017-12-26,773.8359985,786.789978,760.9349976,763.3699951,2201159936,ETH-USD
2017-12-27,762.84198,789.2529907,738.4130249,774.9699707,2100029952,ETH-USD
2017-12-28,737.0230103,763.3189697,701.1870117,762.2080078,2389149952,ETH-USD
2017-12-29,753.59198,770.1170044,729.6079712,740.3889771,2648969984,ETH-USD
2017-12-30,717.257019,753.8150024,685.2310181,753.8150024,3187780096,ETH-USD
2017-12-31,756.7329712,760.3480225,710.1190186,712.2119751,2554269952,ETH-USD
2018-01-01,772.6409912,782.5300293,742.0040283,755.757019,2595760128,ETH-USD
2018-01-02,884.4439697,914.8300171,772.3460083,772.3460083,5783349760,ETH-USD
2018-01-03,962.7199707,974.4710083,868.4509888,886.0,5093159936,ETH-USD
2018-01-04,980.9219971,1045.079956,946.0859985,961.7130127,6502859776,ETH-USD
2018-01-05,997.7199707,1075.390015,956.3250122,975.75,6683149824,ETH-USD
2018-01-06,1041.680054,1060.709961,994.6220093,995.1539917,4662219776,ETH-USD
2018-01-07,1153.170044,1153.170044,1043.01001,1043.01001,5569880064,ETH-USD
2018-01-08,1148.530029,1266.930054,1016.049988,1158.26001,8450970112,ETH-USD
2018-01-09,1299.73999,1320.97998,1145.48999,1146.0,7965459968,ETH-USD
2018-01-10,1255.819946,1417.380005,1226.599976,1300.339966,9214950400,ETH-USD
2018-01-11,1154.930054,1337.300049,1135.170044,1268.089966,7235899904,ETH-USD
2018-01-12,1273.199951,1296.040039,1120.089966,1158.290039,5222300160,ETH-USD
2018-01-13,1396.420044,1432.880005,1270.469971,1270.469971,5746760192,ETH-USD
2018-01-14,1366.77002,1400.560059,1286.209961,1397.47998,4841630208,ETH-USD
2018-01-15,1291.920044,1390.589966,1290.599976,1365.209961,4781100032,ETH-USD
2018-01-16,1053.689941,1292.630005,875.5449829,1292.630005,8405139968,ETH-USD
2018-01-17,1014.25,1090.22998,780.9219971,1061.339966,8545160192,ETH-USD
2018-01-18,1036.280029,1100.310059,967.7589722,1016.440002,5938319872,ETH-USD
2018-01-19,1039.099976,1093.219971,1003.710022,1028.819946,4084450048,ETH-USD
2018-01-20,1155.150024,1167.109985,1044.949951,1044.949951,3975190016,ETH-USD
2018-01-21,1049.579956,1155.680054,1021.5,1155.680054,3378089984,ETH-USD
2018-01-22,1003.26001,1089.099976,930.7410278,1055.349976,3810099968,ETH-USD
2018-01-23,986.2290039,1023.22998,920.539978,1004.169983,3556699904,ETH-USD
2018-01-24,1058.780029,1062.439941,965.8079834,987.4769897,3944039936,ETH-USD
2018-01-25,1056.030029,1104.660034,1034.73999,1063.219971,4050190080,ETH-USD
2018-01-26,1055.170044,1080.599976,996.7839966,1052.699951,3617690112,ETH-USD
2018-01-27,1107.069946,1121.97998,1042.119995,1055.75,3002870016,ETH-USD
2018-01-28,1246.01001,1257.77002,1111.780029,1111.780029,5372329984,ETH-USD
2018-01-29,1182.359985,1256.699951,1169.079956,1246.699951,3715079936,ETH-USD
2018-01-30,1071.130005,1184.630005,1058.969971,1184.130005,4107859968,ETH-USD
2018-01-31,1118.310059,1128.660034,1034.5,1071.089966,3757560064,ETH-USD
2018-02-01,1036.790039,1161.349976,984.8189697,1119.369995,5261680128,ETH-USD
2018-02-02,915.7849731,1035.77002,757.9799805,1035.77002,6713290240,ETH-USD
2018-02-03,964.0189819,991.9429932,847.6900024,919.2109985,3243480064,ETH-USD
2018-02-04,834.6820068,969.0319824,805.0640259,964.6669922,2997090048,ETH-USD
2018-02-05,697.9509888,856.6459961,644.598999,834.9580078,4269530112,ETH-USD
2018-02-06,793.1220093,796.4390259,574.4190063,707.7369995,6518269952,ETH-USD
2018-02-07,757.0679932,851.2000122,723.4329834,790.4279785,3896179968,ETH-USD
2018-02-08,817.8070068,845.0859985,755.8430176,755.8430176,3708189952,ETH-USD
2018-02-09,883.8649902,884.0040283,788.8339844,818.4799805,2495820032,ETH-USD
2018-02-10,860.414978,917.4000244,825.5770264,882.46698,2930530048,ETH-USD
2018-02-11,814.6599731,859.2880249,788.2219849,859.2880249,2486650112,ETH-USD
2018-02-12,868.7069702,875.9370117,817.5079956,817.5079956,2243450112,ETH-USD
2018-02-13,845.2579956,870.7089844,828.8369751,869.2930298,2081170048,ETH-USD
2018-02-14,923.5609741,926.4290161,844.2789917,844.2789917,2818370048,ETH-USD
2018-02-15,936.9760132,951.947998,911.1110229,923.7280273,2900100096,ETH-USD
2018-02-16,944.210022,950.0050049,917.8480225,934.7860107,2369449984,ETH-USD
2018-02-17,974.1149902,976.5949707,940.7540283,944.7479858,2525720064,ETH-USD
2018-02-18,923.9210205,982.9329834,915.4450073,973.348999,2567290112,ETH-USD
2018-02-19,943.8649902,957.7769775,921.5540161,921.6680298,2169019904,ETH-USD
2018-02-20,895.3709717,965.2650146,892.9539795,943.5670166,2545260032,ETH-USD
2018-02-21,849.9710083,912.375,830.5629883,894.1350098,2531729920,ETH-USD
2018-02-22,812.8449707,875.9260254,802.6680298,849.2620239,2150370048,ETH-USD
2018-02-23,864.1890259,886.3179932,794.7910156,811.585022,2334820096,ETH-USD
2018-02-24,840.5150146,879.5310059,818.5499878,861.5930176,1926579968,ETH-USD
2018-02-25,844.8099976,853.1459961,822.3809814,839.4589844,1646960000,ETH-USD
2018-02-26,869.3150024,880.3920288,842.3189697,845.2780151,2044480000,ETH-USD
2018-02-27,878.2650146,896.2589722,867.0969849,870.3649902,2053980032,ETH-USD
2018-02-28,855.1989746,890.1079712,855.1240234,877.934021,1963980032,ETH-USD
2018-03-01,872.2000122,880.302002,851.9199829,856.0120239,1868519936,ETH-USD
2018-03-02,856.8530273,876.3779907,852.4219971,871.7639771,1894419968,ETH-USD
2018-03-03,857.2249756,868.4539795,855.2069702,856.7109985,1699369984,ETH-USD
2018-03-04,866.6779785,867.9500122,840.2800293,856.1859741,1697939968,ETH-USD
2018-03-05,853.684021,869.9199829,853.5200195,866.8460083,1898489984,ETH-USD
2018-03-06,816.9509888,853.8170166,809.9310303,853.8170166,1943069952,ETH-USD
2018-03-07,752.8309937,825.6069946,726.5469971,816.2709961,2175419904,ETH-USD
2018-03-08,704.5960083,773.7670288,696.1690063,752.5700073,1891640064,ETH-USD
2018-03-09,728.9160156,729.1560059,648.1069946,702.1970215,2233019904,ETH-USD
2018-03-10,686.8900146,748.0310059,682.6950073,730.1599731,1532960000,ETH-USD
2018-03-11,723.3389893,735.8309937,668.1229858,685.3120117,1562680064,ETH-USD
2018-03-12,699.8309937,742.5139771,683.2680054,724.4060059,1764999936,ETH-USD
2018-03-13,690.8270264,713.7349854,682.3499756,698.1530151,1425959936,ETH-USD
2018-03-14,614.2910156,702.7839966,594.0999756,691.2189941,1810560000,ETH-USD
2018-03-15,611.3040161,620.6160278,579.5050049,614.8389893,1770460032,ETH-USD
2018-03-16,601.6660156,623.1680298,587.8619995,611.7780151,1417350016,ETH-USD
2018-03-17,552.7789917,609.151001,549.0960083,601.6779785,1267810048,ETH-USD
2018-03-18,538.6439819,551.6400146,460.0880127,551.6400146,2685499904,ETH-USD
2018-03-19,556.7260132,558.0999756,519.1229858,546.6259766,2046790016,ETH-USD
2018-03-20,557.1749878,567.0900269,521.2039795,556.7219849,1833680000,ETH-USD
2018-03-21,561.7319946,589.6069946,550.5720215,559.0999756,1781270016,ETH-USD
2018-03-22,539.7020264,577.565979,523.0889893,562.1030273,1523459968,ETH-USD
2018-03-23,539.6190186,540.4869995,512.1270142,539.8640137,1596349952,ETH-USD
2018-03-24,526.4390259,545.382019,526.0800171,542.5720215,1300009984,ETH-USD
2018-03-25,524.2869873,535.8209839,515.6589966,522.7030029,1151170048,ETH-USD
2018-03-26,489.9509888,526.3790283,470.4400024,524.2869873,1638880000,ETH-USD
2018-03-27,450.1159973,491.4590149,449.9710083,489.5899963,1617939968,ETH-USD
2018-03-28,446.2789917,466.2109985,444.8609924,450.2909851,1514179968,ETH-USD
2018-03-29,385.9679871,450.8129883,385.8129883,448.0750122,1970230016,ETH-USD
